Id,Sales,Date,Store
1,4276.048102577646,2015-09-17,1
857,4359.756138758934,2015-09-16,1
1713,4820.666480916925,2015-09-15,1
2569,5040.562248565604,2015-09-14,1
3425,0.0,2015-09-13,1
4281,3940.951355547248,2015-09-12,1
5137,3770.104321544638,2015-09-11,1
5993,3529.796679403357,2015-09-10,1
6849,3459.156788178571,2015-09-09,1
7705,3813.071180114786,2015-09-08,1
8561,4064.998669993611,2015-09-07,1
9417,0.0,2015-09-06,1
10273,4805.97879060007,2015-09-05,1
11129,4784.836314459186,2015-09-04,1
11985,4908.77225145085,2015-09-03,1
12841,5516.42787922326,2015-09-02,1
13697,5429.131810591578,2015-09-01,1
14553,5950.203662472178,2015-08-31,1
15409,0.0,2015-08-30,1
16265,4325.638672885441,2015-08-29,1
17121,3910.223635600586,2015-08-28,1
17977,3569.536079692187,2015-08-27,1
18833,3390.5653943119783,2015-08-26,1
19689,3295.3106619044947,2015-08-25,1
20545,3440.0198424357736,2015-08-24,1
21401,0.0,2015-08-23,1
22257,4158.897536867415,2015-08-22,1
23113,4047.9008987493717,2015-08-21,1
23969,4458.134262485675,2015-08-20,1
24825,4315.705725977401,2015-08-19,1
25681,4909.212591329858,2015-08-18,1
26537,5656.13658697597,2015-08-17,1
27393,0.0,2015-08-16,1
28249,4231.667470157217,2015-08-15,1
29105,3676.3993756439336,2015-08-14,1
29961,3549.6134803119207,2015-08-13,1
30817,3627.994233662346,2015-08-12,1
31673,3490.3897750591977,2015-08-11,1
32529,3827.2605515527066,2015-08-10,1
33385,0.0,2015-08-09,1
34241,4306.181780596491,2015-08-08,1
35097,4739.2566903715015,2015-08-07,1
35953,4672.949163900599,2015-08-06,1
36809,4826.2815112769495,2015-08-05,1
37665,5193.479866220139,2015-08-04,1
38521,5727.637303572527,2015-08-03,1
39377,0.0,2015-08-02,1
40233,5612.9996476343895,2015-08-01,1
2,7697.793716060195,2015-09-17,3
858,8429.794809753426,2015-09-16,3
1714,9197.369730512813,2015-09-15,3
2570,9853.213702021996,2015-09-14,3
3426,0.0,2015-09-13,3
4282,3834.4394927118983,2015-09-12,3
5138,5720.7126918135045,2015-09-11,3
5994,5662.063343304566,2015-09-10,3
6850,6077.406155984112,2015-09-09,3
7706,6236.906687271908,2015-09-08,3
8562,6247.152217760979,2015-09-07,3
9418,0.0,2015-09-06,3
10274,4483.6228261257775,2015-09-05,3
11130,7777.7043337035675,2015-09-04,3
11986,8369.870303241709,2015-09-03,3
12842,8877.846169081537,2015-09-02,3
13698,8969.953675910187,2015-09-01,3
14554,14483.45640055326,2015-08-31,3
15410,0.0,2015-08-30,3
16266,4112.871501206294,2015-08-29,3
17122,6611.774795448031,2015-08-28,3
17978,5482.766270431386,2015-08-27,3
18834,5527.992233159025,2015-08-26,3
19690,5727.231696103078,2015-08-25,3
20546,5682.8287201846815,2015-08-24,3
